GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
account,com.nagarro.account.service.auth.impl,AuthServiceImpl,21,167,7,7,5,45,6,7,0,6
account,com.nagarro.account.exception.enums,ErrorCode,0,132,0,0,0,21,0,4,0,4
account,com.nagarro.account.security.util,JwtUtil,16,195,1,3,5,61,1,8,0,7
account,com.nagarro.account.security.util,SecurityUtil,0,51,0,0,0,2,0,1,0,1
account,com.nagarro.account.security.util,SecurityApplicationUtil,0,15,0,0,0,9,0,6,0,6
account,com.nagarro.account.security.config,InMemoryUserDetailsService,0,54,0,0,0,12,0,2,0,2
account,com.nagarro.account.security.config,PasswordConfig,0,8,0,0,0,2,0,2,0,2
account,com.nagarro.account.security.config,WebSecurityConfig,0,156,0,0,0,39,0,9,0,9
account,com.nagarro.account.util,DateUtil,27,18,0,0,8,6,2,3,2,3
account,com.nagarro.account.model.response.auth,LoginResponse,8,19,0,0,1,3,2,4,2,4
account,com.nagarro.account.model.response.auth,LoginResponse.LoginResponseBuilder,6,21,0,0,0,1,1,4,1,4
account,com.nagarro.account.config,DatabaseConfig,0,17,0,0,0,5,0,2,0,2
account,com.nagarro.account.config,OpenApiConfig,0,22,0,0,0,7,0,2,0,2
account,com.nagarro.account.config,RedisConfig,0,16,0,0,0,5,0,3,0,3
account,com.nagarro.account.config.i18n,LocalizationConfig,0,31,0,0,0,9,0,4,0,4
account,com.nagarro.account.config.i18n,MessageSourceConfig,0,35,0,0,0,10,0,3,0,3
account,com.nagarro.account.entity.auth,UserCacheEntity,104,11,22,0,2,2,17,3,6,3
account,com.nagarro.account.security.filter,JwtAuthenticationFilter,3,86,2,4,2,19,2,5,0,4
account,com.nagarro.account.mapper.account.row,StatementRowMapper,0,27,0,0,0,8,0,2,0,2
account,com.nagarro.account.mapper.account.row,AccountRowMapper,0,19,0,0,0,7,0,2,0,2
account,com.nagarro.account.model.request.auth,LoginRequest,0,17,0,0,0,4,0,5,0,5
account,com.nagarro.account.enums,Language,0,28,0,0,0,7,0,3,0,3
account,com.nagarro.account.controller.account,AccountController,13,6,0,0,2,1,1,1,1,1
account,com.nagarro.account.exception,BaseException.BaseExceptionBuilder,13,33,0,2,0,1,2,5,2,4
account,com.nagarro.account.exception,BaseExceptionHandler,15,10,0,0,7,2,1,2,1,2
account,com.nagarro.account.exception,BaseException,148,35,32,0,2,6,23,7,7,7
account,com.nagarro.account.exception,BaseError,203,59,50,0,0,16,28,9,3,9
account,com.nagarro.account.controller.auth,AuthController,18,6,0,0,2,1,2,1,2,1
account,com.nagarro.account.security.config.jwt,JwtSecretKey,0,12,0,0,0,2,0,2,0,2
account,com.nagarro.account.security.config.jwt,JwtConfig,0,24,0,0,0,5,0,7,0,7
account,com.nagarro.account.exception.util,ExceptionHandlerUtil,1,58,1,1,1,11,1,4,0,4
account,com.nagarro.account,AccountApplication,0,8,0,0,0,3,0,2,0,2
account,com.nagarro.account.model.response,BaseResponse,179,0,30,0,13,0,26,0,11,0
account,com.nagarro.account.model.response,BaseResponse.BaseResponseBuilder,18,0,0,0,1,0,4,0,4,0
account,com.nagarro.account.repository.account.impl,StatementRepositoryImpl,0,16,0,0,0,3,0,2,0,2
account,com.nagarro.account.repository.account.impl,AccountRepositoryImpl,0,16,0,0,0,3,0,2,0,2
account,com.nagarro.account.service.account.impl,AccountServiceImpl,6,241,10,38,0,60,11,31,1,17
account,com.nagarro.account.security.auth,ApplicationUser,0,32,0,0,0,13,0,10,0,10
account,com.nagarro.account.security.auth,ApplicationUserService,0,30,0,0,0,7,0,3,0,3
account,com.nagarro.account.entity.account,Statement.StatementBuilder,10,35,0,0,0,1,1,6,1,6
account,com.nagarro.account.entity.account,Account.AccountBuilder,8,28,0,0,0,1,1,5,1,5
account,com.nagarro.account.entity.account,Statement,172,31,32,0,1,6,24,6,8,6
account,com.nagarro.account.entity.account,Account,143,25,30,0,1,5,22,5,7,5
account,com.nagarro.account.security.exception,CustomAccessDeniedHandler,0,48,0,2,0,15,0,3,0,2
account,com.nagarro.account.security.exception,CustomAuthenticationFailureHandler,0,28,0,4,0,6,0,4,0,2
account,com.nagarro.account.model.response.account,StatementResponse.StatementResponseBuilder,8,28,0,0,0,1,1,5,1,5
account,com.nagarro.account.model.response.account,AccountResponse.AccountResponseBuilder,10,35,0,0,0,1,1,6,1,6
account,com.nagarro.account.model.response.account,AccountResponse,180,31,38,0,1,5,27,6,8,6
account,com.nagarro.account.model.response.account,StatementResponse,135,25,24,0,1,4,19,5,7,5
account,com.nagarro.account.mapper.account,StatementResponseMapper,0,12,0,0,0,6,0,1,0,1
account,com.nagarro.account.mapper.account,AccountResponseMapper,0,18,0,0,0,7,0,1,0,1
